Symbol,Name,Sector,Market Cap
LPG,Dorian LPG Ltd.,Energy,Small Cap
DORM,Dorman Products Inc.,Consumer Discretionary,Small Cap
DRQ,Dril-Quip Inc.,Energy,Small Cap
DSPG,DSP Group Inc.,Information Technology,Small Cap
DXPE,DXP Enterprises Inc.,Industrials,Small Cap
ELF,e.l.f. Beauty Inc.,Consumer Staples,Small Cap
EGBN,Eagle Bancorp Inc,Financials,Small Cap
EGRX,Eagle Pharmaceuticals Inc.,Health Care,Small Cap
DEA,Easterly Government Properties Inc.,Real Estate,Small Cap
EBIX,Ebix Inc.,Information Technology,Small Cap
ECHO,Echo Global Logistics Inc.,Industrials,Small Cap
EPC,Edgewell Personal Care,Consumer Staples,Small Cap
EHTH,eHealth Inc.,Financials,Small Cap
LOCO,El Pollo Loco Holdings Inc.,Consumer Discretionary,Small Cap
EIG,Employers Holdings Inc.,Financials,Small Cap
ENTA,Enanta Pharmaceuticals Inc.,Health Care,Small Cap
ECPG,Encore Capital Group Inc.,Financials,Small Cap
WIRE,Encore Wire Corporation,Industrials,Small Cap
ENDP,Endo International plc,Health Care,Small Cap
EPAC,Enerpac Tool Group,Industrials,Small Cap
ENVA,Enova International Inc.,Financials,Small Cap
NPO,EnPro Industries Inc.,Industrials,Small Cap
ENSG,Ensign Group Inc.,Health Care,Small Cap
PLUS,ePlus Inc.,Information Technology,Small Cap
ESE,ESCO Technologies Inc.,Industrials,Small Cap
EPRT,Essential Properties Realty Trust Inc.,Real Estate,Small Cap
ETH,Ethan Allen Interiors Inc.,Consumer Discretionary,Small Cap
EVTC,EVERTEC Inc.,Information Technology,Small Cap
EXLS,ExlService Holdings Inc.,Information Technology,Small Cap
EXPO,Exponent Inc.,Industrials,Small Cap
EXTR,Extreme Networks Inc.,Information Technology,Small Cap
EZPW,EZCORP Inc.,Financials,Small Cap
FN,Fabrinet,Information Technology,Small Cap
FARO,FARO Technologies Inc.,Information Technology,Small Cap
FBK,FB Financial Corp.,Financials,Small Cap
FSS,Federal Signal Corporation,Industrials,Small Cap
FOE,Ferro Corp.,Materials,Small Cap
FRGI,Fiesta Restaurant Group Inc.,Consumer Discretionary,Small Cap
FBP,First BanCorp (Puerto Rico),Financials,Small Cap
FBNC,First Bancorp (Southern Pines NC),Financials,Small Cap
FCF,First Commonwealth Financial Corp.,Financials,Small Cap
FFBC,First Financial Bancorp.,Financials,Small Cap
FHB,First Hawaiian Inc.,Financials,Small Cap
FMBI,First Midwest Bancorp Inc.,Financials,Small Cap
FBC,Flagstar Bancorp Inc.,Financials,Small Cap
FORM,FormFactor Inc.,Information Technology,Small Cap
FORR,Forrester Research Inc.,Industrials,Small Cap
FWRD,Forward Air Corp.,Industrials,Small Cap
FOSL,Fossil Group Inc.,Consumer Discretionary,Small Cap
FCPT,Four Corners Property Trust Inc.,Real Estate,Small Cap
FELE,Franklin Electric Co. Inc.,Industrials,Small Cap
FSP,Franklin Street Properties Corp.,Real Estate,Small Cap
FDP,Fresh Del Monte Produce Inc.,Consumer Staples,Small Cap
FLGT,Fulgent Genetics Inc.,Health Care,Small Cap
FF,FutureFuel Corp.,Materials,Small Cap
GIII,G-III Apparel Group Ltd.,Consumer Discretionary,Small Cap
GME,GameStop Corp.,Consumer Discretionary,Small Cap
GCI,Gannett Co. Inc.,Consumer Discretionary,Small Cap
GCP,GCP Applied Technologies Inc.,Materials,Small Cap
GCO,Genesco Inc.,Consumer Discretionary,Small Cap
THRM,Gentherm Incorporated,Consumer Discretionary,Small Cap
GEO,GEO Group Inc.,Real Estate,Small Cap
GTY,Getty Realty Corp.,Real Estate,Small Cap
ROCK,Gibraltar Industries Inc.,Industrials,Small Cap
GLT,Glatfelter Corp.,Materials,Small Cap
