Symbol,Name,Sector,Market Cap
HUM,Humana Inc.,Health Care,Large Cap
HBAN,Huntington Bancshares,Financials,Large Cap
HII,Huntington Ingalls Industries,Industrials,Large Cap
IEX,IDEX Corporation,Industrials,Large Cap
IDXX,Idexx Laboratories,Health Care,Large Cap
INFO,IHS Markit,Industrials,Large Cap
ITW,Illinois Tool Works,Industrials,Large Cap
ILMN,Illumina Inc,Health Care,Large Cap
INCY,Incyte,Health Care,Large Cap
IR,Ingersoll-Rand,Industrials,Large Cap
INTC,Intel Corp.,Information Technology,Large Cap
ICE,Intercontinental Exchange,Financials,Large Cap
IBM,International Business Machines,Information Technology,Large Cap
IFF,International Flavors & Fragrances,Materials,Large Cap
IP,International Paper,Materials,Large Cap
IPG,Interpublic Group,Communication Services,Large Cap
INTU,Intuit Inc.,Information Technology,Large Cap
ISRG,Intuitive Surgical Inc.,Health Care,Large Cap
IVZ,Invesco Ltd.,Financials,Large Cap
IPGP,IPG Photonics Corp.,Information Technology,Large Cap
IQV,IQVIA Holdings Inc.,Health Care,Large Cap
IRM,Iron Mountain Incorporated,Real Estate,Large Cap
JBHT,J. B. Hunt Transport Services,Industrials,Large Cap
JKHY,Jack Henry & Associates,Information Technology,Large Cap
J,Jacobs Engineering Group,Industrials,Large Cap
SJM,JM Smucker,Consumer Staples,Large Cap
JNJ,Johnson & Johnson,Health Care,Large Cap
JCI,Johnson Controls International,Industrials,Large Cap
JPM,JPMorgan Chase & Co.,Financials,Large Cap
JNPR,Juniper Networks,Information Technology,Large Cap
KSU,Kansas City Southern,Industrials,Large Cap
K,Kellogg Co.,Consumer Staples,Large Cap
KEY,KeyCorp,Financials,Large Cap
KEYS,Keysight Technologies,Information Technology,Large Cap
KMB,Kimberly-Clark,Consumer Staples,Large Cap
KIM,Kimco Realty,Real Estate,Large Cap
KMI,Kinder Morgan,Energy,Large Cap
KLAC,KLA Corporation,Information Technology,Large Cap
KHC,Kraft Heinz Co,Consumer Staples,Large Cap
KR,Kroger Co.,Consumer Staples,Large Cap
LB,L Brands Inc.,Consumer Discretionary,Large Cap
LHX,L3Harris Technologies,Industrials,Large Cap
LH,Laboratory Corp. of America Holding,Health Care,Large Cap
LRCX,Lam Research,Information Technology,Large Cap
LW,Lamb Weston Holdings Inc,Consumer Staples,Large Cap
LVS,Las Vegas Sands,Consumer Discretionary,Large Cap
LEG,Leggett & Platt,Consumer Discretionary,Large Cap
LDOS,Leidos Holdings,Industrials,Large Cap
LEN,Lennar Corp.,Consumer Discretionary,Large Cap
LLY,Lilly (Eli) & Co.,Health Care,Large Cap
LNC,Lincoln National,Financials,Large Cap
LIN,Linde plc,Materials,Large Cap
LYV,Live Nation Entertainment,Communication Services,Large Cap
LKQ,LKQ Corporation,Consumer Discretionary,Large Cap
LMT,Lockheed Martin Corp.,Industrials,Large Cap
L,Loews Corp.,Financials,Large Cap
LOW,Lowe's Cos.,Consumer Discretionary,Large Cap
LUMN,Lumen Technologies,Communication Services,Large Cap
LYB,LyondellBasell,Materials,Large Cap
MTB,M&T Bank,Financials,Large Cap
MRO,Marathon Oil Corp.,Energy,Large Cap
MPC,Marathon Petroleum,Energy,Large Cap
MKTX,MarketAxess,Financials,Large Cap
MAR,Marriott International,Consumer Discretionary,Large Cap
MMC,Marsh & McLennan,Financials,Large Cap
MLM,Martin Marietta Materials,Materials,Large Cap
MAS,Masco Corp.,Industrials,Large Cap
MA,Mastercard Inc.,Information Technology,Large Cap
MXIM,Maxim Integrated Products,Information Technology,Large Cap
MKC,McCormick & Co.,Consumer Staples,Large Cap
MCD,McDonald's Corp.,Consumer Discretionary,Large Cap
MCK,McKesson Corp.,Health Care,Large Cap
MDT,Medtronic plc,Health Care,Large Cap
MRK,Merck & Co.,Health Care,Large Cap
MET,MetLife Inc.,Financials,Large Cap
MTD,Mettler Toledo,Health Care,Large Cap
MGM,MGM Resorts International,Consumer Discretionary,Large Cap
MCHP,Microchip Technology,Information Technology,Large Cap
MU,Micron Technology,Information Technology,Large Cap
MSFT,Microsoft Corp.,Information Technology,Large Cap
MAA,Mid-America Apartments,Real Estate,Large Cap
MHK,Mohawk Industries,Consumer Discretionary,Large Cap
TAP,Molson Coors Beverage Company,Consumer Staples,Large Cap
MDLZ,Mondelez International,Consumer Staples,Large Cap
MPWR,Monolithic Power Systems,Information Technology,Large Cap
