Symbol,Name,Sector,Market Cap
KEX,Kirby Corporation,Industrials,Mid Cap
KNX,Knight-Swift,Industrials,Mid Cap
KSS,Kohl's,Consumer Discretionary,Mid Cap
LAMR,Lamar Advertising Company,Real Estate,Mid Cap
LANC,Lancaster Colony Corp,Consumer Staples,Mid Cap
LSTR,Landstar System Inc,Industrials,Mid Cap
LSCC,Lattice Semiconductor Co.,Information Technology,Mid Cap
LEA,Lear,Consumer Discretionary,Mid Cap
TREE,LendingTree,Financials,Mid Cap
LII,Lennox International Inc,Industrials,Mid Cap
LHCG,LHC Group,Health Care,Mid Cap
LSI,Life Storage Inc,Real Estate,Mid Cap
LGND,Ligand Pharmaceuticals,Health Care,Mid Cap
LECO,Lincoln Electric Holdings Inc,Industrials,Mid Cap
LAD,Lithia Motors,Consumer Discretionary,Mid Cap
LFUS,Littelfuse Inc,Information Technology,Mid Cap
LIVN,LivaNova,Health Care,Mid Cap
RAMP,LiveRamp,Information Technology,Mid Cap
LPX,Louisiana-Pacific Corp,Materials,Mid Cap
LITE,Lumentum Holdings,Information Technology,Mid Cap
MAC,Macerich,Real Estate,Mid Cap
MANH,Manhattan Associates Inc.,Information Technology,Mid Cap
MAN,ManpowerGroup,Industrials,Mid Cap
VAC,Marriott Vacations Worldwide,Consumer Discretionary,Mid Cap
MASI,Masimo,Health Care,Mid Cap
MTZ,MasTec,Industrials,Mid Cap
MAT,Mattel,Consumer Discretionary,Mid Cap
MMS,Maximus Inc,Information Technology,Mid Cap
MDU,MDU Resources Group Inc,Utilities,Mid Cap
MPW,Medical Properties Trust Inc,Real Estate,Mid Cap
MEDP,Medpace,Health Care,Mid Cap
MCY,Mercury General Corp,Financials,Mid Cap
MRCY,Mercury Systems Inc,Industrials,Mid Cap
MTG,MGIC Investment Corporation,Financials,Mid Cap
MIDD,Middleby Corporation,Industrials,Mid Cap
MLHR,Miller Herman Inc,Industrials,Mid Cap
MTX,Minerals Technologies Inc,Materials,Mid Cap
MKSI,MKS Instruments,Information Technology,Mid Cap
MOH,Molina Healthcare Inc,Health Care,Mid Cap
MSA,MSA Safety Inc,Industrials,Mid Cap
MSM,MSC Industrial Direct A,Industrials,Mid Cap
MUR,Murphy Oil,Energy,Mid Cap
MUSA,Murphy USA Inc,Consumer Discretionary,Mid Cap
NFG,National Fuel Gas,Utilities,Mid Cap
NATI,National Instruments Corp,Information Technology,Mid Cap
NNN,National Retail Properties Inc,Real Estate,Mid Cap
NAVI,Navient Corp.,Financials,Mid Cap
NCR,NCR Corp,Information Technology,Mid Cap
NKTR,Nektar Therapeutics,Health Care,Mid Cap
NEOG,Neogen Corp,Health Care,Mid Cap
NTCT,NetScout Systems,Information Technology,Mid Cap
NBIX,Neurocrine Biosciences,Health Care,Mid Cap
NJR,New Jersey Resources,Utilities,Mid Cap
NYCB,New York Community Bancorp Inc,Financials,Mid Cap
NYT,New York Times Company,Communication Services,Mid Cap
NEU,NewMarket Corporation,Materials,Mid Cap
NDSN,Nordson Corp,Industrials,Mid Cap
JWN,Nordstrom Inc,Consumer Discretionary,Mid Cap
NWE,NorthWestern Corporation,Utilities,Mid Cap
NUS,Nu Skin Enterprises,Consumer Staples,Mid Cap
NUVA,NuVasive Inc,Health Care,Mid Cap
NVT,nVent Electric plc,Industrials,Mid Cap
OGE,OGE Energy Corp,Utilities,Mid Cap
ORI,Old Republic International,Financials,Mid Cap
OLN,Olin Corp.,Materials,Mid Cap
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,Mid Cap
OHI,Omega Healthcare Investors,Real Estate,Mid Cap
OGS,ONE Gas,Utilities,Mid Cap
OSK,Oshkosh Corporation,Industrials,Mid Cap
OC,Owens Corning,Industrials,Mid Cap
PACW,PacWest Bancorp,Financials,Mid Cap
PZZA,Papa John's International Inc,Consumer Discretionary,Mid Cap
PK,Park Hotels & Resorts,Real Estate,Mid Cap
PDCO,Patterson Companies,Health Care,Mid Cap
PCTY,Paylocity Holding Corp,Information Technology,Mid Cap
PEB,Pebblebrook Hotel Trust,Real Estate,Mid Cap
PEN,Penumbra Inc,Health Care,Mid Cap
PRSP,Perspecta Inc.,Information Technology,Mid Cap
DOC,Physicians Realty Trust,Real Estate,Mid Cap
PPC,Pilgrim's Pride,Consumer Staples,Mid Cap
PNFP,Pinnacle Financial Partners,Financials,Mid Cap
PNM,PNM Resources,Utilities,Mid Cap
PII,Polaris Industries Inc,Consumer Discretionary,Mid Cap
POST,Post Holdings Inc,Consumer Staples,Mid Cap
PCH,Potlatch Corp,Real Estate,Mid Cap
PRAH,PRA Health Sciences,Health Care,Mid Cap
PRI,Primerica Inc,Financials,Mid Cap
PRG,PROG Holdings Inc.,Financials,Mid Cap
PGNY,Progyny Inc,Health Care,Mid Cap
PB,Prosperity Bancshares Inc,Financials,Mid Cap
PSB,PS Business Parks,Real Estate,Mid Cap
QLYS,Qualys Inc.,Information Technology,Mid Cap
QDEL,Quidel Corp,Health Care,Mid Cap
RYN,Rayonier Inc,Real Estate,Mid Cap
RBC,Regal Beloit Corp,Industrials,Mid Cap
RGA,Reinsurance Group of America,Financials,Mid Cap
